+-------------------------+--------+-------------------------+-------------------+-------------------+--------------------+-------------------+--------------------+
|           Name          | Symbol |           Slug          |       Price       | Percent_change_1h | Percent_change_24h | Percent_change_7d |     market_cap     |
| Synthetix Network Token |  SNX   | synthetix-network-token |   0.728806257987  |      0.380714     |      4.40209       |      1.18726      | 131438324.56695156 |
|      Kyber Network      |  KNC   |      kyber-network      |   0.682415727251  |      -1.49108     |      0.566239      |      46.4198      | 122867354.00663579 |
|        Ravencoin        |  RVN   |        ravencoin        |  0.0190089156373  |      0.824197     |      -5.52445      |      14.2556      | 114711487.43858513 |
|          Augur          |  REP   |          augur          |   10.3689315837   |      0.254102     |     -0.998988      |      5.65086      |   114058247.4207   |
|         ZB Token        |   ZB   |         zb-token        |   0.243146342194  |     -0.0693448    |     -0.690717      |      2.92754      | 112646979.53091104 |
|        Enjin Coin       |  ENJ   |        enjin-coin       |   0.135118594252  |      2.50976      |      -3.31758      |      33.4879      | 110090864.71487248 |
|          Waves          | WAVES  |          waves          |   1.06639328704   |      1.05361      |      3.61987       |      7.71493      | 108538381.06463999 |
|     Bitcoin Diamond     |  BCD   |     bitcoin-diamond     |   0.53493918176   |      0.188898     |     -0.695351      |      3.86882      |  99762358.235029   |
|   Multi-collateral DAI  |  DAI   |   multi-collateral-dai  |   1.00390764624   |      0.145789     |     -0.311359      |      0.179716     | 96763153.39371951  |
|          THETA          | THETA  |          theta          |   0.108273651254  |      2.23606      |      -3.10198      |      27.1422      | 94252504.67272887  |
|          Energi         |  NRG   |          energi         |   3.25851943003   |      0.254636     |      1.87673       |      40.0163      | 92654745.41812502  |
|         OmiseGO         |  OMG   |         omisego         |   0.653709510118  |      0.559587     |    -0.00475634     |       17.257      | 91679750.58312972  |
|          Steem          | STEEM  |          steem          |   0.225624830931  |      0.458032     |      24.7862       |      48.2743      | 83993661.58174111  |
|      DxChain Token      |   DX   |      dxchain-token      |  0.00165551547779 |     0.0273094     |      5.06488       |      14.4027      | 82775773.88898051  |
|           MCO           |  MCO   |        crypto-com       |   5.07866077776   |      0.184342     |     -0.088771      |      3.28519      | 80211510.51255232  |
|         MonaCoin        |  MONA  |         monacoin        |   1.20693438741   |      0.15301      |      0.20135       |      3.50834      |  79331404.8752915  |
|           Nano          |  NANO  |           nano          |   0.589242229621  |      0.276626     |      -1.25187      |      6.66189      | 78515523.73356193  |
|      KuCoin Shares      |  KCS   |      kucoin-shares      |   0.957777207288  |     -0.0952332    |     -0.0461334     |      4.03665      | 77819670.10087687  |
|         DigixDAO        |  DGD   |         digixdao        |   37.3054222339   |      0.212617     |     -0.0844507     |      10.9717      |   74610844.4678    |
|         Siacoin         |   SC   |         siacoin         |  0.00171449019576 |      0.236541     |      2.67372       |       28.021      |  71694918.1841219  |
|      Nervos Network     |  CKB   |      nervos-network     |  0.00471664245997 |      0.382646     |      -5.32481      |     -0.778367     | 67093130.77130892  |
|          Komodo         |  KMD   |          komodo         |   0.560400154896  |    -0.00298382    |      -1.18607      |      0.198976     | 66958878.07715889  |
|          Bytom          |  BTM   |          bytom          |   0.06608947074   |      1.35975      |      -8.31454      |      17.3443      | 66254646.50198372  |
|        ABBC Coin        |  ABBC  |        abbc-coin        |   0.117452221457  |      0.169589     |      0.461518      |      5.27877      | 65234951.599806815 |
|          Status         |  SNT   |          status         |  0.0186417939828  |      0.565059     |      -1.99337      |      10.7364      | 64696043.79654335  |
|          Quant          |  QNT   |          quant          |   4.98629148739   |      0.182683     |      -5.58377      |      -12.5363     | 60198190.71888977  |
|          Seele          | SEELE  |          seele          |  0.0854994580647  |     -0.782313     |      -3.43635      |      14.0818      | 59814742.53411404  |
|           Nexo          |  NEXO  |           nexo          |   0.103127558609  |      0.850707     |     -0.617033      |      0.957897     | 57751433.955443144 |
|           Holo          |  HOT   |           holo          | 0.000348766951727 |      1.29786      |      -1.1079       |      6.36559      | 57222895.20231711  |
|          Terra          |  LUNA  |        terra-luna       |   0.195562886764  |      0.616895     |      0.413087      |      -7.65483     | 56276311.42640517  |
|         Horizen         |  ZEN   |         horizen         |   6.09872569342   |      0.364487     |     -0.313745      |       8.2231      | 54543343.36653242  |
|           Ren           |  REN   |           ren           |  0.0628679514909  |     -0.361463     |      -1.30383      |      8.86187      | 53547984.14856446  |
|         Hyperion        |  HYN   |         hyperion        |   0.16599966368   |     -0.0850169    |      0.227557      |      26.9713      | 52583035.75468266  |
|      Matic Network      | MATIC  |      matic-network      |  0.0151796988918  |      0.704447     |      -3.25469      |       22.853      | 52119562.905311026 |
|        BitTorrent       |  BTT   |        bittorrent       | 0.000240482580962 |      0.722782     |      -3.05506      |      6.75845      | 51010323.384626076 |
|        Numeraire        |  NMR   |        numeraire        |   20.7522766486   |      0.349795     |     -0.521243      |      -2.08881     | 50238269.002220854 |
|         Zilliqa         |  ZIL   |         zilliqa         |  0.00491358119331 |      0.76431      |      -3.86109      |      18.3197      | 49542939.05434024  |
|        v.systems        |  VSYS  |        v-systems        |  0.0249818011963  |      0.271646     |      -3.18426      |      4.94856      | 49453982.416807696 |
|        BitShares        |  BTS   |        bitshares        |  0.0174728878975  |      0.584928     |      -2.26606      |      5.63911      | 48146018.41492433  |
|        HyperCash        |   HC   |        hypercash        |   1.06270888985   |      0.236253     |      -3.81916      |      7.10649      | 47387575.80104549  |
|          Verge          |  XVG   |          verge          |  0.00289323819151 |     -0.962863     |     -0.499129      |      8.78298      | 47014666.78842589  |
|       MaidSafeCoin      |  MAID  |       maidsafecoin      |   0.10086722667   |     -0.993856     |       0.3887       |      -15.0418     | 45647706.72125923  |
|        Unibright        |  UBT   |        unibright        |   0.306624075629  |      0.37766      |      5.96813       |      57.3759      | 45562804.28612799  |
|           Aave          |  LEND  |           aave          |  0.0349536527655  |      1.46692      |      -5.70627      |      34.0779      | 45439746.55746285  |
|         Bytecoin        |  BCN   |       bytecoin-bcn      | 0.000245975779061 |      0.235892     |      1.07779       |      1.36199      | 45275981.616825886 |
|        Blockstack       |  STX   |        blockstack       |   0.109147329007  |      0.180194     |     -0.0618848     |      23.4637      | 43395657.885808684 |
|       Decentraland      |  MANA  |       decentraland      |  0.0315600259485  |      2.55898      |      6.38679       |      13.1891      | 43242927.57911908  |
|         PAX Gold        |  PAXG  |         pax-gold        |   1730.86380486   |      0.077639     |     -0.500342      |       1.1584      | 42752747.92562756  |
|           IOST          |  IOST  |         iostoken        |  0.00347310063187 |      0.71192      |      -2.98835      |      10.3089      |  41725711.5473527  |
|          Golem          |  GNT   |   golem-network-tokens  |  0.0421308552303  |      2.30026      |     -0.821146      |      13.1628      | 41290344.66845552  |
|          Zcoin          |  XZC   |          zcoin          |   3.96039216152   |      0.339192     |      -3.00854      |      -2.44764     | 39569142.75728758  |
|           aelf          |  ELF   |           aelf          |  0.0690516013668  |      -1.4275      |      1.20937       |       13.097      |  37597229.721581   |
|          Ardor          |  ARDR  |          ardor          |  0.0366351485543  |      0.763494     |      -1.11118      |      7.94636      | 36598494.90499568  |
+-------------------------+--------+-------------------------+-------------------+-------------------+--------------------+-------------------+--------------------+
